ID,Client_Income,Car_Owned,Bike_Owned,Active_Loan,House_Own,Child_Count,Credit_Amount,Loan_Annuity,Client_Income_Type,Client_Education,Client_Marital_Status,Client_Gender,Loan_Contract_Type,Client_Housing_Type,Age_Days,Employed_Days,Own_House_Age,Client_Occupation,Client_Family_Members,Score_Source_1,Score_Source_2,Score_Source_3,Credit_Bureau,Default
12133385,33750,1.0,0.0,1.0,0.0,2.0,133988.4,3547.35,Commercial,Secondary,M,Female,CL,Home,11366,2977,6.0,Laborers,4.0,0.508198522,0.301181977,0.355638717,1.0,0
12114826,13500,1.0,1.0,1.0,0.0,1.0,18000,900,Service,Secondary,M,Female,RL,Municipal,12625,125,3.0,Drivers,3.0,0.533047491,0.552346235,0.865895915,1.0,0
12130231,22500,1.0,1.0,0.0,1.0,2.0,125640,4464.45,Commercial,Secondary,M,Female,CL,Home,15008,2977,64.0,Laborers,4.0,0.217238399,0.687360699,0.646329898,2.0,0
12127046,27000,1.0,0.0,0.0,1.0,3.0,53366.85,4003.2,Commercial,Secondary,M,Female,CL,Home,12323,1117,2.0,Laborers,5.0,0.47716857,0.67744661,0.581483706,4.0,0
12210150,18000,1.0,0.0,1.0,1.0,1.0,27000,724.95,Service,Secondary,D,Male,CL,Home,14559,4911,1.0,Laborers,2.0,0.741929904,0.642445259,0.397946322,0.0,0
12170397,18000,1.0,1.0,1.0,1.0,0.0,48149.55,3351.15,Service,Secondary,M,Male,CL,Home,9114,646,17.0,Sales,2.0,0.135435367,0.470133562,0.236610824,7.0,0
12202193,15750,1.0,0.0,1.0,1.0,0.0,24750,1237.5,Service,Graduation,M,Male,RL,Home,17434,276,15.0,Core,2.0,0.727769695,0.297846572,0.29859499,1.0,0
12159662,15750,1.0,1.0,0.0,1.0,0.0,57340.8,2072.7,Service,Graduation,M,Female,CL,Home,10977,639,5.0,Laborers,2.0,0.288839564,0.272040179,0.684827659,3.0,0
12178498,18000,1.0,1.0,0.0,1.0,0.0,27370.8,3095.55,Govt Job,Graduation dropout,M,Female,CL,Home,8675,1232,31.0,Core,2.0,0.245755768,0.295018947,0.554946769,2.0,0
12211396,18900,1.0,1.0,1.0,1.0,0.0,122301,5194.8,Commercial,Graduation,M,Male,CL,Home,14999,4416,5.0,Accountants,2.0,0.78271132,0.781623068,0.457899551,0.0,0
